Year,Date,Country,City,Deaths,Type,More info
,June 14,Pakistan,"US consulate, Karachi",12,truck bomb,Main article: 2002 Karachi consulate attack
,June 5,Israel,Megiddo Junction,17,car bomb,
,May 8,Pakistan,Karachi,14,car bomb,Main article: 2002 Karachi bus bombing
,April 11,Tunisia,"Synagogue, Djerba",21,truck bomb,Main article: Ghriba synagogue bombing
,April 7,Colombia,Villavicencio,12,car bomb,
2002,March 21,Peru,"U.S. Embassy, Lima",9,car bomb,Main article: 2002 Lima bombing
,December 1,Israel,Jerusalem,11,suicide car bomb,Main article: Ben Yehuda Street bombings
,Oct. 1,India,"Assembly Building, Srinagar, Jammu and Kashmir",38,car bomb,Main article: 2001 Jammu and Kashmir legislative assembly attack
,June 19,Russia,"Gudermes, Chechnya",12,car bombs (3),
2001,March 24,Russia,"Mineralnye Vody, Stavropol Krai",19,car bomb,
,August 1,Indonesia,Central Jakarta,2,car bomb,Main article: 2000 Philippine consulate bombing
2000,July 3,Russia,"Grozny, Chechnya",25,truck bomb,Main article: July 2000 Chechnya suicide bombings
